 
 
 ! The solution file is: GTAP_Files\SaveSims\coal01
 
 ! Variable psave # price of savings in region r #
 ! Variable psave(REG:Lin+Lev) of size 9x4
 
 psave(REG:Lin+Lev),Linear         ,PreLevel       ,PostLevel      ,Changes        ,
 pm(NSAV_COMM:REG:"PostLevel"),USA            ,EU27           ,EEFSU          ,JPN            ,RoA1           ,EEx            ,CHN            ,IND            ,ROW            ,
 land        ,  1.0000135    , 0.99999970    , 0.99999803    , 0.99999875    , 0.99998194    , 0.99999380    , 0.99999708    , 0.99999493    , 0.99999601    ,
 Unsklab     , 0.99999279    , 0.99999940    ,  1.0000052    , 0.99999756    ,  1.0000010    ,  1.0000027    , 0.99999946    , 0.99999857    , 0.99999994    ,
 Sklab       , 0.99999928    , 0.99999946    ,  1.0000058    , 0.99999756    ,  1.0000012    ,  1.0000027    , 0.99999923    , 0.99999851    , 0.99999964    ,
 capital     ,  1.0000055    , 0.99999869    ,  1.0000068    , 0.99999630    ,  1.0000054    ,  1.0000057    , 0.99999887    , 0.99999768    , 0.99999887    ,
 NatRes      , 0.99960941    ,  1.0000409    ,  1.0000540    ,  1.0000044    ,  1.0000788    ,  1.0000676    ,  1.0000186    ,  1.0000292    ,  1.0000783    ,
 Agr         , 0.99999815    ,  1.0000010    ,  1.0000051    , 0.99999970    ,  1.0000035    ,  1.0000035    ,  1.0000000    , 0.99999857    ,  1.0000014    ,
 Coal        , 0.99939644    , 0.99999589    ,  1.0000030    , 0.99999720    , 0.99999797    , 0.99996907    ,  1.0000007    , 0.99999994    , 0.99999738    ,
 Oil         , 0.99999356    ,  1.0000160    ,  1.0000192    ,  1.0000095    ,  1.0000256    ,  1.0000238    ,  1.0000100    ,  1.0000122    ,  1.0000217    ,
 Gas         ,  1.0000629    ,  1.0000095    ,  1.0000132    , 0.99999809    ,  1.0000321    ,  1.0000166    ,  1.0000097    ,  1.0000030    ,  1.0000153    ,
 Oil_pcts    ,  1.0000105    ,  1.0000161    ,  1.0000161    ,  1.0000181    ,  1.0000198    ,  1.0000199    ,  1.0000120    ,  1.0000176    ,  1.0000185    ,
 Electricity , 0.99993885    , 0.99999994    ,  1.0000086    ,  1.0000036    ,  1.0000014    ,  1.0000116    ,  1.0000001    ,  1.0000006    ,  1.0000043    ,
 En_Int_ind  , 0.99999678    ,  1.0000013    ,  1.0000080    ,  1.0000017    ,  1.0000037    ,  1.0000061    ,  1.0000010    ,  1.0000021    ,  1.0000026    ,
 Oth_ind_ser , 0.99999797    ,  1.0000000    ,  1.0000062    , 0.99999827    ,  1.0000026    ,  1.0000044    ,  1.0000001    , 0.99999970    ,  1.0000006    ,
 CGDS        , 0.99999833    ,  1.0000001    ,  1.0000049    , 0.99999839    ,  1.0000021    ,  1.0000037    ,  1.0000001    , 0.99999994    ,  1.0000005    ,
 
 ! The matrix pm(%1:%2:"Changes") with %1 in NSAV_COMM and %2 in REG. ++++++++
